序号,书名,作者,价钱
1,诺奖少年版（全30册） 33万五星好评，日销ZUI高达50000册，系列销量突破5000000册，全国多所小学暑期阅读书目）,海明威,"

¥364.30"
2,断舍离,山下英子,"

¥27.90
"
3,我们仨,杨绛,"

¥23.00
"
4,好看的皮囊千篇一律，有趣的灵魂万里挑一（老杨的猫头鹰最新作品“醒脑之书”系列之三）,老杨的猫头鹰,"

¥30.30
"
5,如何说孩子才会听 怎么听孩子才肯说（全新修订版）,玛兹丽施,"

¥36.80
"
6,一只特立独行的猪,王小波,"

¥35.00
"
7,百年童话绘本・典藏版（全套30册）当当2018年度常青藤畅销书奖，台湾企鹅金牌畅销书，历时5年匠心绘制，上千张手绘插画美翻了！,莱曼・弗兰克・鲍姆,"

¥236.80"
8,我们仨（新版）,杨绛,"

¥15.40
"
9,在教室说错了没关系,莳田晋至,"

¥30.60
"
10,这就是二十四节气（中国二十四节气彩绘版，文津图书奖获奖绘本，共4册）,高春香,"

¥89.00
"
11,你的善良必须有点锋芒,慕颜歌,"

¥28.60
"
12,许三观卖血记（新版）,余华,"

¥32.00
"
13,半小时漫画世界史（看半小时漫画，通五千年历史！其实是一本严谨的极简世界史！）,陈磊,"

¥37.90
"
14,天才在左 疯子在右(2018全新完整版),高铭,"

¥27.40
"
15,阿米巴经营――畅销十周年纪念版，当当全国独家（团购，请致电400-106-6666转6）,稻盛和夫,"

¥27.90
"
16,东野圭吾：嫌疑人X的献身（王凯、张鲁一推荐，至为纯粹的爱情，绝好的诡计）,东野圭吾,"

¥26.20
"
17,曹文轩文集典藏版（全7册）,曹文轩,"

¥100.80"
18,时间简史（插图本）（央视《朗读者》推荐）,史蒂芬・霍金,"

¥32.40
"
19,我爸爸+我妈妈（全2册）,安东尼・布朗,"

¥44.40
"
20,写给儿童的中国地理（全14册）,陈卫平,"

¥333.20"
21,诺奖少年版（全30册） 33万五星好评，日销ZUI高达50000册，系列销量突破5000000册，全国多所小学暑期阅读书目）,海明威,"

¥364.30"
22,断舍离,山下英子,"

¥27.90
"
23,我们仨,杨绛,"

¥23.00
"
24,好看的皮囊千篇一律，有趣的灵魂万里挑一（老杨的猫头鹰最新作品“醒脑之书”系列之三）,老杨的猫头鹰,"

¥30.30
"
25,如何说孩子才会听 怎么听孩子才肯说（全新修订版）,玛兹丽施,"

¥36.80
"
26,一只特立独行的猪,王小波,"

¥35.00
"
27,百年童话绘本・典藏版（全套30册）当当2018年度常青藤畅销书奖，台湾企鹅金牌畅销书，历时5年匠心绘制，上千张手绘插画美翻了！,莱曼・弗兰克・鲍姆,"

¥236.80"
28,我们仨（新版）,杨绛,"

¥15.40
"
29,在教室说错了没关系,莳田晋至,"

¥30.60
"
30,这就是二十四节气（中国二十四节气彩绘版，文津图书奖获奖绘本，共4册）,高春香,"

¥89.00
"
31,你的善良必须有点锋芒,慕颜歌,"

¥28.60
"
32,许三观卖血记（新版）,余华,"

¥32.00
"
33,半小时漫画世界史（看半小时漫画，通五千年历史！其实是一本严谨的极简世界史！）,陈磊,"

¥37.90
"
34,天才在左 疯子在右(2018全新完整版),高铭,"

¥27.40
"
35,阿米巴经营――畅销十周年纪念版，当当全国独家（团购，请致电400-106-6666转6）,稻盛和夫,"

¥27.90
"
36,东野圭吾：嫌疑人X的献身（王凯、张鲁一推荐，至为纯粹的爱情，绝好的诡计）,东野圭吾,"

¥26.20
"
37,曹文轩文集典藏版（全7册）,曹文轩,"

¥100.80"
38,时间简史（插图本）（央视《朗读者》推荐）,史蒂芬・霍金,"

¥32.40
"
39,我爸爸+我妈妈（全2册）,安东尼・布朗,"

¥44.40
"
40,写给儿童的中国地理（全14册）,陈卫平,"

¥333.20"
41,诺奖少年版（全30册） 33万五星好评，日销ZUI高达50000册，系列销量突破5000000册，全国多所小学暑期阅读书目）,海明威,"

¥364.30"
42,断舍离,山下英子,"

¥27.90
"
43,我们仨,杨绛,"

¥23.00
"
44,好看的皮囊千篇一律，有趣的灵魂万里挑一（老杨的猫头鹰最新作品“醒脑之书”系列之三）,老杨的猫头鹰,"

¥30.30
"
45,如何说孩子才会听 怎么听孩子才肯说（全新修订版）,玛兹丽施,"

¥36.80
"
46,一只特立独行的猪,王小波,"

¥35.00
"
47,百年童话绘本・典藏版（全套30册）当当2018年度常青藤畅销书奖，台湾企鹅金牌畅销书，历时5年匠心绘制，上千张手绘插画美翻了！,莱曼・弗兰克・鲍姆,"

¥236.80"
48,我们仨（新版）,杨绛,"

¥15.40
"
49,在教室说错了没关系,莳田晋至,"

¥30.60
"
50,这就是二十四节气（中国二十四节气彩绘版，文津图书奖获奖绘本，共4册）,高春香,"

¥89.00
"
51,你的善良必须有点锋芒,慕颜歌,"

¥28.60
"
52,许三观卖血记（新版）,余华,"

¥32.00
"
53,半小时漫画世界史（看半小时漫画，通五千年历史！其实是一本严谨的极简世界史！）,陈磊,"

¥37.90
"
54,天才在左 疯子在右(2018全新完整版),高铭,"

¥27.40
"
55,阿米巴经营――畅销十周年纪念版，当当全国独家（团购，请致电400-106-6666转6）,稻盛和夫,"

¥27.90
"
56,东野圭吾：嫌疑人X的献身（王凯、张鲁一推荐，至为纯粹的爱情，绝好的诡计）,东野圭吾,"

¥26.20
"
57,曹文轩文集典藏版（全7册）,曹文轩,"

¥100.80"
58,时间简史（插图本）（央视《朗读者》推荐）,史蒂芬・霍金,"

¥32.40
"
59,我爸爸+我妈妈（全2册）,安东尼・布朗,"

¥44.40
"
60,写给儿童的中国地理（全14册）,陈卫平,"

¥333.20"
