address,company,job,others,url_detail
佛山,博智林机器人,APP开发工程师,本科以上 | 1-3年 | 全职 | 12000-24000元,https://www.jobui.com/job/209843246/
佛山,博智林机器人,三维视觉开发工程师,本科以上 | 全职 | 17000-34000元,https://www.jobui.com/job/209936520/
佛山,博智林机器人,招聘专员,全职 | 8000-15000元,https://www.jobui.com/job/207418324/
深圳,博智林机器人,视觉算法开发工程师,本科以上 | 全职 | 15000-30000元,https://www.jobui.com/job/210996525/
深圳,博智林机器人,运动控制算法工程师,本科以上 | 全职 | 15000-30000元,https://www.jobui.com/job/210996520/
佛山,博智林机器人,BIM开发工程师,硕士以上 | 1-3年 | 全职 | 15000-25000元,https://www.jobui.com/job/210995839/
佛山,博智林机器人,路径规划工程师,3-5年 | 全职 | 10000-20000元,https://www.jobui.com/job/211120581/
佛山,博智林机器人,嵌入软件设计工程师,硕士以上 | 全职 | 20000-40000元,https://www.jobui.com/job/211120504/
广州,博智林机器人,C++软件开发工程师,本科以上 | 3-5年 | 全职 | 10000-20000元,https://www.jobui.com/job/194972120/
深圳,博智林机器人,C++软件开发工程师,本科以上 | 3-5年 | 全职 | 10000-20000元,https://www.jobui.com/job/211120306/
深圳,博智林机器人,边缘云开发工程师,本科以上 | 3-5年 | 全职 | 15000-20000元,https://www.jobui.com/job/211120294/
广州,博智林机器人,边缘云开发工程师,本科以上 | 3-5年 | 全职 | 15000-20000元,https://www.jobui.com/job/211120291/
广州,博智林机器人,嵌入式软件工程师,本科以上 | 3-5年 | 全职 | 15000-20000元,https://www.jobui.com/job/196213336/
佛山,博智林机器人,C++软件开发工程师,本科以上 | 1-3年 | 全职 | 15000-25000元,https://www.jobui.com/job/211119996/
佛山,博智林机器人,人力资源部实习生,应届毕业生 | 实习 | 100~120元/天,https://www.jobui.com/job/198273584/
广州,森荣手袋,外贸业务员,全职 | 0.6-1.2万/月,https://www.jobui.com/job/171270352/
广州,森荣手袋,日语跟单 双休 五险一金,中专以上 | 全职 | 5-8千/月,https://www.jobui.com/job/210744873/
广州,森荣手袋,仓库配货员,初中以上 | 1年经验 | 全职 | 4-5.5千/月,https://www.jobui.com/job/209675685/
广州,森荣手袋,外发跟单生产跟单,高中以上 | 1年经验 | 全职 | 4.5-6.5千/月,https://www.jobui.com/job/201137682/
广州,森荣手袋,销售副经理 日语,大专以上 | 3-4年经验 | 全职 | 20-30万/年,https://www.jobui.com/job/210798130/
广州,森荣手袋,食堂厨师,初中以上 | 1年经验 | 全职 | 4-6.5千/月,https://www.jobui.com/job/210028217/
广州,森荣手袋,销售经理渠道销售销售代表,大专以上 | 1年经验 | 全职 | 6-8千/月,https://www.jobui.com/job/208455726/
广州,森荣手袋,日语跟单双休五险一金,大专以上 | 1年经验 | 全职 | 3.5-6千/月,https://www.jobui.com/job/182679207/
广州,森荣手袋,日语外贸业务员,大专以上 | 1年经验 | 全职 | 1-1.5万/月,https://www.jobui.com/job/210446064/
广州,森荣手袋,高级招聘专员,大专以上 | 1年经验 | 全职 | 5-8千/月,https://www.jobui.com/job/209726447/
广州,森荣手袋,板房车位 车板师,1年经验 | 全职 | 4.5-6千/月,https://www.jobui.com/job/203616160/
广州,森荣手袋,动漫类包袋设计师双休,1年经验 | 全职 | 0.5-1万/月,https://www.jobui.com/job/206956326/
广州,森荣手袋,前台文员行政文员五险一金,中专以上 | 1年经验 | 全职 | 3.5-4.5千/月,https://www.jobui.com/job/184670105/
广州,中国太平洋保险股份有限公司广州分公司,保险销售代表,大专以上 | 3-4年经验 | 全职 | 10-15万/年,https://www.jobui.com/job/143749457/
广州,中国太平洋保险股份有限公司广州分公司,保险大客户销售代表,大专以上 | 3-4年经验 | 全职 | 10-15万/年,https://www.jobui.com/job/211312402/
广州,中国太平洋保险股份有限公司广州分公司,行政文秘岗,应届毕业生 | 实习 | 80~90元/天,https://www.jobui.com/job/201336267/
广州,中国太平洋保险股份有限公司广州分公司,保险销售精英,大专以上 | 3-4年经验 | 全职 | 10-15万/年,https://www.jobui.com/job/127279428/
广州,中国太平洋保险股份有限公司广州分公司,太平洋保险代理人,高中以上 | 1年经验 | 全职 | 0.6-1万/月,https://www.jobui.com/job/135486482/
