序号,食物名称,食物热量,食物营养信息链接
1,年糕（低糖桂花年糕），又叫蒙尔司 低糖年糕（桂花糖年糕）,热量：156 大卡(每100克),http://www.boohee.com/shiwu/niangao
2,麦片,热量：368 大卡(每100克),http://www.boohee.com/shiwu/maipian
3,牛角面包，又叫面包,热量：378 大卡(每100克),http://www.boohee.com/shiwu/fashiniujiaomianbao
4,红烧牛肉方便面（面饼+调味料+蔬菜+肉酱）,热量：447 大卡(每100克),http://www.boohee.com/shiwu/hongshaoniuroufangbianmian_mianbingdiaoweiliaoshucairoujiang
5,双层奶酪汉堡（夹奶酪，双层肉饼、双层面包，加调料酱和蔬菜）,热量：285 大卡(每100克),http://www.boohee.com/shiwu/ganlaohanbaobao_putongxing_jianailao_shuangcengroubing_shuangcengmianbao_jiadiao
6,山药，又叫薯蓣、山芋、诸薯、延草、薯药、大薯,热量：57 大卡(每100克),http://www.boohee.com/shiwu/shanyao
7,炒饭，又叫炒米饭,热量：188 大卡(每100克),http://www.boohee.com/shiwu/shijinchaofan
8,芋头，又叫芋艿、毛芋,热量：56 大卡(每100克),http://www.boohee.com/shiwu/yutou
9,葡萄干面包，又叫面包,热量：260 大卡(每100克),http://www.boohee.com/shiwu/putaoganmianbao
10,咸面包,热量：275 大卡(每100克),http://www.boohee.com/shiwu/xianmianbao
11,小米粥,热量：46 大卡(每100克),http://www.boohee.com/shiwu/xiaomizhou
12,马铃薯，又叫土豆、洋芋、地蛋、山药蛋、洋番薯,热量：81 大卡(每100克),http://www.boohee.com/shiwu/malingshu
13,包子（猪肉馅）,热量：227 大卡(每100克),http://www.boohee.com/shiwu/baozi_zhurouxian
14,米饭，又叫大米饭，饭，蒸米,热量：116 大卡(每100克),http://www.boohee.com/shiwu/mifan_zheng
15,白薯，又叫山芋、红皮山芋，地瓜、甘薯,热量：106 大卡(每100克),http://www.boohee.com/shiwu/ganshu_baixin
16,大米，又叫稻米、米、生米,热量：346 大卡(每100克),http://www.boohee.com/shiwu/daomi_junzhi
17,全麦面包，又叫全麦面包、全麦吐司、全麦面包片,热量：246 大卡(每100克),http://www.boohee.com/shiwu/maipeimianbao
18,烙饼,热量：259 大卡(每100克),http://www.boohee.com/shiwu/laobing_biaozhunfen
19,花卷,热量：214 大卡(每100克),http://www.boohee.com/shiwu/huajuan
20,油条,热量：388 大卡(每100克),http://www.boohee.com/shiwu/youtiao
21,方便面，又叫泡面,热量：473 大卡(每100克),http://www.boohee.com/shiwu/fangbianmian
22,果料面包，又叫面包、水果面包,热量：279 大卡(每100克),http://www.boohee.com/shiwu/guoliaomianbao
23,红豆，又叫赤小豆、红小豆、红饭豆、米赤豆、赤豆、朱小豆,热量：324 大卡(每100克),http://www.boohee.com/shiwu/chixiaodou
24,餐包，又叫小餐包、面包,热量：284 大卡(每100克),http://www.boohee.com/shiwu/fashipeicanmianbao
25,烧饼(加糖),热量：298 大卡(每100克),http://www.boohee.com/shiwu/shaobing_jiatang
26,绿豆（干），又叫青小豆、植豆、交豆,热量：329 大卡(每100克),http://www.boohee.com/shiwu/lvdou
27,薏米，又叫薏苡、薏苡仁、六谷米、苡米、薏仁米、沟子米、苡仁、薏仁,热量：361 大卡(每100克),http://www.boohee.com/shiwu/yimi
28,粉丝（干），又叫细粉、线粉、丝粉、古称索粉,热量：338 大卡(每100克),http://www.boohee.com/shiwu/fensi
29,面条(标准粉，切面),热量：283 大卡(每100克),http://www.boohee.com/shiwu/miantiao_biaozhunfen_qiemian
30,麦维面包,热量：270 大卡(每100克),http://www.boohee.com/shiwu/maiweimianbao
31,嘉顿 生命面包 450g,热量：284 大卡(每100克),http://www.boohee.com/shiwu/shengmingmaibaopaiquanmaiqiepianmianbao
32,包子（三鲜馅）,热量：223 大卡(每100克),http://www.boohee.com/shiwu/baozi_sanxianxian
33,馒头,热量：223 大卡(每100克),http://www.boohee.com/shiwu/mantou_junzhi
34,油饼,热量：403 大卡(每100克),http://www.boohee.com/shiwu/youbing
35,Easy Fun 低脂全麦面包,热量：259 大卡(每100克),http://www.boohee.com/shiwu/fd6ac35c
36,Easy Fun 紫薯营养粥（2019款）,热量：319 大卡(每100克),http://www.boohee.com/shiwu/fde8f0ff
37,单层汉堡（夹肉饼，加调料酱和蔬菜）,热量：256 大卡(每100克),http://www.boohee.com/shiwu/hanbaobao_putongxing_jiaroubing_jiadiaoliaojiangheshucai
38,紫薯，又叫甘薯（紫色）,热量：106 大卡(每100克),http://www.boohee.com/shiwu/zishu
39,米粉（干），又叫粉,热量：349 大卡(每100克),http://www.boohee.com/shiwu/mifen
40,黄油面包,热量：331 大卡(每100克),http://www.boohee.com/shiwu/huangyoumianbao
41,Easy Fun 紫薯营养粥,热量：317 大卡(每100克),http://www.boohee.com/shiwu/fdd9b123
42,白粥，又叫白粥（粳米），稀饭，大米粥，白米粥，米粥，大米汤汤,热量：46 大卡(每100克),http://www.boohee.com/shiwu/jingmizhou
43,稀饭，又叫白粥（籼米），大米粥，白米粥,热量：59 大卡(每100克),http://www.boohee.com/shiwu/xianmizhou
44,玉米（鲜），又叫苞谷、珍珠米、棒子、玉蜀黍、苞米、六谷,热量：112 大卡(每100克),http://www.boohee.com/shiwu/yumi_xian
45,燕麦片，又叫燕麦,热量：338 大卡(每100克),http://www.boohee.com/shiwu/yanmaipian
46,面条（生），又叫面,热量：301 大卡(每100克),http://www.boohee.com/shiwu/miantiao_junzhi
47,面条（煮），又叫面,热量：110 大卡(每100克),http://www.boohee.com/shiwu/miantiao_fuqiangfen_zhu
48,籼米粉，又叫米线、米粉、粉,热量：356 大卡(每100克),http://www.boohee.com/shiwu/xianmifen
49,面包,热量：313 大卡(每100克),http://www.boohee.com/shiwu/mianbao_junzhi
50,红薯，又叫地瓜、番薯、甘薯,热量：61 大卡(每100克),http://www.boohee.com/shiwu/ganshu_hongxin
51,珍珠玉米，又叫玉米,热量：66 大卡(每100克),http://www.boohee.com/shiwu/fdc6c0b5
52,糯玉米，又叫玉米,热量：172 大卡(每100克),http://www.boohee.com/shiwu/fd111062
53,紫玉米，又叫玉米,热量：168 大卡(每100克),http://www.boohee.com/shiwu/fd5c2fad
54,糯米，又叫元米、江米,热量：350 大卡(每100克),http://www.boohee.com/shiwu/nuomi_junzhi
55,马铃薯粉，又叫土豆粉,热量：340 大卡(每100克),http://www.boohee.com/shiwu/malingshufen
56,蒸红薯，又叫蒸地瓜,热量：75 大卡(每100克),http://www.boohee.com/shiwu/zhenghongshu
57,豌豆（干），又叫回回豆、雪豆、寒豆、麦豆、毕豆、留豆,热量：334 大卡(每100克),http://www.boohee.com/shiwu/wandou
58,玉米(黄，干)，又叫苞谷、棒子、玉蜀黍,热量：348 大卡(每100克),http://www.boohee.com/shiwu/yumi_huang_gan
59,饺子（猪肉香菇馅），又叫水饺（猪肉香菇馅）,热量：231 大卡(每100克),http://www.boohee.com/shiwu/jiaozi_zhurouxiangguxian
60,小米，又叫粟米、稞子、秫子、黏米、白梁粟、粟谷,热量：361 大卡(每100克),http://www.boohee.com/shiwu/xiaomi
61,麦当劳 巨无霸汉堡,热量：249 大卡(每100克),http://www.boohee.com/shiwu/maidanglaojuwubahanbao
62,麦当劳 原味板烧鸡腿堡,热量：236 大卡(每100克),http://www.boohee.com/shiwu/maidanglaoyuanweibanshaojituibao
63,糙米,热量：348 大卡(每100克),http://www.boohee.com/shiwu/caomi_weizheng
64,玉米(白，干)，又叫苞谷、棒子、玉蜀黍,热量：352 大卡(每100克),http://www.boohee.com/shiwu/yumi_bai_gan
65,麦当劳 吉士蛋堡,热量：217 大卡(每100克),http://www.boohee.com/shiwu/maidanglaojishidanbao_zaocan
66,饺子/馄饨（半荤），又叫水饺（半荤）、小馄饨,热量：223 大卡(每100克),http://www.boohee.com/shiwu/jiaozi_zhurouhuixiangxian
67,玉米糁(黄),热量：326 大卡(每100克),http://www.boohee.com/shiwu/yumisan_huang
68,麦当劳 不素之霸,热量：244 大卡(每100克),http://www.boohee.com/shiwu/fd8f98dd
69,甜玉米，又叫玉米,热量：107 大卡(每100克),http://www.boohee.com/shiwu/fd79c794
70,水果玉米，又叫玉米,热量：105 大卡(每100克),http://www.boohee.com/shiwu/fd352c04
71,顶味 鸡蛋面,热量：358 大卡(每100克),http://www.boohee.com/shiwu/dingweijidanmian
72,意大利面（通心粉），又叫意面,热量：351 大卡(每100克),http://www.boohee.com/shiwu/tongxinmian
73,凉粉(带调料),热量：51 大卡(每100克),http://www.boohee.com/shiwu/liangfen_daidiaoliao
74,伊田面馆 拉面,热量：168 大卡(每100克),http://www.boohee.com/shiwu/yitianmianguanhilamian
75,面条(干切面),热量：355 大卡(每100克),http://www.boohee.com/shiwu/miantiao_ganqiemian
76,玉米片(即食粥),热量：391 大卡(每100克),http://www.boohee.com/shiwu/yumipian_jishizhou
77,肯德基 香辣鸡腿堡,热量：257 大卡(每100克),http://www.boohee.com/shiwu/kendejixianglajituibao
78,麦当劳 猪柳麦满分,热量：269 大卡(每100克),http://www.boohee.com/shiwu/maidanglaozhuliumaimanfen
79,面条(富强粉，切面),热量：285 大卡(每100克),http://www.boohee.com/shiwu/miantiao_fuqiangfen_qiemian
80,麦当劳 猪柳蛋麦满分,热量：233 大卡(每100克),http://www.boohee.com/shiwu/fd41682e
81,麦当劳 吉士汉堡包,热量：255 大卡(每100克),http://www.boohee.com/shiwu/maidanglaojishihanbao
82,魔芋精粉,热量：186 大卡(每100克),http://www.boohee.com/shiwu/moyujingfen
83,麦当劳 双层吉士汉堡,热量：288 大卡(每100克),http://www.boohee.com/shiwu/maidanglaoshuangcengjishihanbao
84,椰圈面包，又叫椰丝面包、面包,热量：320 大卡(每100克),http://www.boohee.com/shiwu/yequanmianbao
85,三明治（夹鸡蛋、干酪）,热量：234 大卡(每100克),http://www.boohee.com/shiwu/sanmingzhi_jiahuotui_jidan
86,私房小厨苡仁粉,热量：449 大卡(每100克),http://www.boohee.com/shiwu/sifangxiaochuyirenfen
87,麦当劳 麦辣鸡腿汉堡,热量：320 大卡(每100克),http://www.boohee.com/shiwu/maidanglaomailajituihanbao
88,奶香馒头,热量：268 大卡(每100克),http://www.boohee.com/shiwu/siniannaixiangmantou
89,麦当劳 培根蔬萃双层牛堡,热量：202 大卡(每100克),http://www.boohee.com/shiwu/maidanglaoxianshuzuzunniubao
90,三明治（夹火腿、干酪）,热量：244 大卡(每100克),http://www.boohee.com/shiwu/sanmingzhi_jiahuotui_ganlao
91,黑芝麻汤圆，又叫元宵,热量：311 大卡(每100克),http://www.boohee.com/shiwu/heizhimatangyuan
92,黑米,热量：341 大卡(每100克),http://www.boohee.com/shiwu/heimi
93,芋头(煮),热量：60 大卡(每100克),http://www.boohee.com/shiwu/yutou_zhu
94,多维面包,热量：316 大卡(每100克),http://www.boohee.com/shiwu/duoweimianbao
95,小麦粉(标准粉)，又叫面粉,热量：362 大卡(每100克),http://www.boohee.com/shiwu/xiaomaifen_biaozhunfen
96,澳洲燕麦片,热量：359 大卡(每100克),http://www.boohee.com/shiwu/aozhouyanmaipian
97,玉米面(黄),热量：350 大卡(每100克),http://www.boohee.com/shiwu/yumimian_huang
98,挂面,热量：353 大卡(每100克),http://www.boohee.com/shiwu/guamian_junzhi
99,粉条（干）,热量：338 大卡(每100克),http://www.boohee.com/shiwu/fentiao
100,麦当劳 汉堡包,热量：262 大卡(每100克),http://www.boohee.com/shiwu/fd46d808
101,鸡蛋白（鸡蛋清），又叫鸡蛋白、鸡蛋清、蛋清、蛋白,热量：60 大卡(每100克),http://www.boohee.com/shiwu/jidanbai_jidanqing
102,火腿肠,热量：212 大卡(每100克),http://www.boohee.com/shiwu/huotuichang
103,鸡胸脯肉，又叫鸡柳肉、鸡里脊肉、鸡胸、鸡胸肉,热量：133 大卡(每100克),http://www.boohee.com/shiwu/jixiongfurou
104,牛肉（牛腩），又叫腹部肉,热量：332 大卡(每100克),http://www.boohee.com/shiwu/niurou_fuburou
